doc_id,token,pos
0,상태,NNG
0,기계,NNG
0,복제,NNG
0,결함,NNG
0,감내,NNG
0,제공하다,VV
0,있다,VA
0,기술,NNG
0,알려지다,VV
0,클라이언트,NNG
0,요청,NNG
0,같다,VA
0,순서,NNG
0,정렬,NNG
0,복제,NNG
0,실행,NNG
0,결정,NNG
0,알고리즘,NNG
0,실행,NNG
0,결과,NNG
0,정상,NNG
0,복제,NNG
0,요청,NNG
0,실행하다,VV
0,같다,VA
0,상태,NNG
0,되다,VV
0,확장,NNG
0,없다,VA
0,복제,NNG
0,수,NNG
0,늘어나다,VV
0,처리,NNG
0,량,NNG
0,늘어나다,VV
0,논문,NNG
0,전체,NNG
0,시스템,NNG
0,성능,NNG
0,제고하다,VV
0,있다,VA
0,확장,NNG
0,가능,NNG
0,프로토콜,NNG
0,제안하다,VV
0,지리,NNG
0,분산,NNG
0,클라이언트,NNG
0,복제,NNG
0,데이터,NNG
0,액세스,NNG
0,특성,NNG
0,고려하다,VV
0,전체,NNG
0,시스템,NNG
0,파티션,NNG
0,분할하다,VV
0,파티션,NNG
0,클라이언트,NNG
0,요청,NNG
0,순서,NNG
0,결정하다,VV
0,리더,NNG
0,두다,VV
0,액세스하다,VV
0,데이터,NNG
0,상충하다,VV
0,이상,NNG
0,트랜잭션,NNP
0,동시,NNG
0,처리,NNG
0,과반,NNG
0,동의,NNG
0,리더,NNG
0,강제,NNG
0,쓰다,VV
0,근간,NNG
0,하다,VV
0,알고리즘,NNG
0,확장하다,VV
0,구현하다,VV
0,테스트,NNG
0,베드,NNG
0,상,NNG
0,실험,NNG
0,통하다,VV
0,효용,NNG
0,입증하다,VV
0,기존,NNG
0,접근,NNG
0,방식,NNG
0,비교하다,VV
0,데이터,NNG
0,지역,NNG
0,따르다,VV
0,트랜잭션,NNP
0,처리,NNG
0,응답,NNG
0,시간,NNG
0,줄이다,VV
0,있다,VA
0,확인하다,VV
0,있다,VA
2,논문,NNG
2,착용,NNG
2,형,NNG
2,증강현실,NNP
2,기반,NNG
2,체험,NNG
2,콘텐츠,NNG
2,돌탑,NNG
2,콘텐츠,NNG
2,제안하다,VV
2,착용하다,VV
2,있다,VA
2,형태,NNG
2,증강현실,NNP
2,주목,NNG
2,기술,NNG
2,수용,NNG
2,산업,NNG
2,현장,NNG
2,특수,NNG
2,목적,NNG
2,응용,NNG
2,집중,NNG
2,개발,NNG
2,현황,NNG
2,반면,NNG
2,제안하다,VV
2,돌탑,NNG
2,콘텐츠,NNG
2,일반,NNG
2,사용자,NNG
2,공감하다,VV
2,참여하다,VV
2,있다,VA
2,돌탑,NNG
2,소재,NNG
2,바탕,NNG
2,하다,VV
2,이동,NNG
2,환경,NNG
2,공간,NNG
2,활용하다,VV
2,자연,NNG
2,손,NNG
2,제스처,NNG
2,바탕,NNG
2,돌,NNG
2,찾다,VV
2,쌓다,VV
2,있다,VA
2,구성하다,VV
2,제안하다,VV
2,돌탑,NNG
2,콘텐츠,NNG
2,환경,NNG
2,구현,NNG
2,규모,NNG
2,미술관,NNG
2,파일럿,NNG
2,전시,NNG
2,통하다,VV
2,일반,NNG
2,사용자,NNG
2,대상,NNG
2,평가,NNG
2,수행하다,VV
2,평가,NNG
2,결과,NNG
2,콘텐츠,NNG
2,대하다,VV
2,전반,NNG
2,만족도,NNG
2,평균,NNG
2,나타나다,VV
2,돌탑,NNG
2,소재,NNG
2,대하다,VV
2,콘텐츠,NNG
2,적절성,NNG
2,높다,VA
2,나타나다,VV
2,콘텐츠,NNG
2,이해도,NNG
2,사운드,NNG
2,대하다,VV
2,만족도,NNG
2,높다,VA
2,나타나다,VV
2,객체,NNG
2,인지,NNG
2,신체,NNG
2,적응도,NNP
2,객체,NNG
2,컨트롤,NNG
2,낮다,VA
2,만족도,NNG
2,보이다,VV
2,위,NNG
2,같다,VA
2,사용자,NNG
2,평가,NNG
2,통하다,VV
2,소재,NNG
2,대하다,VV
2,공감대,NNG
2,긍정,NNG
2,반응,NNG
2,확인하다,VV
2,착용,NNG
2,환경,NNG
2,체험,NNG
2,상호,NNG
2,작용,NNG
2,일반,NNG
2,사용자,NNG
2,어려움,NNG
2,확인하다,VV
5,연구,NNG
5,케이팝,NNG
5,아이돌,NNG
5,피지컬,NNG
5,앨범,NNG
5,유통,NNG
5,구조,NNG
5,따르다,VV
5,팬덤,NNP
5,수용,NNG
5,특징,NNG
5,의하다,VV
5,앨범,NNG
5,차트,NNG
5,내,NNG
5,아티스트,NNG
5,편중,NNG
5,현상,NNG
5,조명하다,VV
5,개선하다,VV
5,위하다,VV
5,방안,NNG
5,제시하다,VV
5,국내,NNG
5,음악,NNG
5,시장,NNG
5,케이팝,NNG
5,아이돌,NNG
5,음악,NNG
5,산업,NNG
5,주,NNG
5,되다,VV
5,따르다,VV
5,주류,NNG
5,음악,NNG
5,경우,NNG
5,유통,NNG
5,홍보,NNG
5,하다,VV
5,있다,VA
5,콘텐츠,NNG
5,플랫폼,NNG
5,다변,NNG
5,시급하다,VA
5,위하다,VV
5,선행,NNG
5,연구,NNG
5,기반,NNG
5,음악,NNG
5,소비,NNG
5,방식,NNG
5,변화,NNG
5,인하다,VV
5,음반,NNG
5,산업,NNG
5,변화,NNG
5,양상,NNG
5,고찰하다,VV
5,써클 차트,NNP
5,음반,NNG
5,판매량,NNG
5,분석,NNG
